Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,10:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,0,-7.3,54,102570,9999,9999,246,228,322,85,999900,999900,999900,99990,90,1,1,1,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,11:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,1.1,-11.4,35,102570,9999,9999,256,364,506,97,999900,999900,999900,99990,135,2,5,5,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,12:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,2.4,-17.6,18,102570,9999,9999,255,481,692,93,999900,999900,999900,99990,157,2,5,5,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,13:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,3,-14.7,22,102570,9999,9999,266,550,772,80,999900,999900,999900,99990,180,4,7,7,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,14:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,4.1,-10.9,29,102570,9999,9999,274,547,755,69,999900,999900,999900,99990,135,3,7,7,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,15:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,4.7,-11.8,26,102570,9999,9999,280,467,714,63,999900,999900,999900,99990,180,4,8,8,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,16:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,5.3,-10.9,27,102570,9999,9999,283,350,600,47,999900,999900,999900,99990,157,4,8,8,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,17:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,5.1,-11.4,26,102570,9999,9999,277,194,6,26,999900,999900,999900,99990,157,4,7,7,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,18:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,4.1,-8.7,36,102570,9999,9999,276,47,0,0,999900,999900,999900,99990,157,3,7,7,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,19:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,2.5,-7.2,45,102570,9999,9999,266,0,0,0,999900,999900,999900,99990,135,2,5,5,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
